date,ydd_hrel,mjd_hrel,3003430_hrf,3003420_hrf,8000701_hrf,3003452_hrf,3003431_hrf,3003450_hrf,3003454_hrf,8000735_hrf,3004620_hwl
2023-05-20 23:00:00,9.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
2023-05-21 00:00:00,8.982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
2023-05-21 01:00:00,8.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
2023-05-21 02:00:00,8.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
2023-05-21 03:00:00,8.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
2023-05-21 04:00:00,8.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
2023-05-21 05:00:00,8.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
2023-05-21 06:00:00,8.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
2023-05-21 07:00:00,8.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
2023-05-21 08:00:00,8.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49
2023-05-21 09:00:00,8.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2023-05-21 10:00:00,8.658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
2023-05-21 11:00:00,8.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
2023-05-21 12:00:00,8.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
2023-05-21 13:00:00,8.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46
2023-05-21 14:00:00,8.658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
2023-05-21 15:00:00,8.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
2023-05-21 16:00:00,8.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
2023-05-21 17:00:00,8.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
2023-05-21 18:00:00,8.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46
2023-05-21 19:00:00,8.658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
2023-05-21 20:00:00,8.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
2023-05-21 21:00:00,8.658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
2023-05-21 22:00:00,8.689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
2023-05-21 23:00:00,8.904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2023-05-22 00:00:00,9.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
2023-05-22 01:00:00,9.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
2023-05-22 02:00:00,9.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2023-05-22 03:00:00,9.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
2023-05-22 04:00:00,8.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
2023-05-22 05:00:00,8.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
2023-05-22 06:00:00,8.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41
2023-05-22 07:00:00,8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2023-05-22 08:00:00,8.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.39
2023-05-22 09:00:00,8.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.39
2023-05-22 10:00:00,8.671,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2023-05-22 11:00:00,8.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46
2023-05-22 12:00:00,8.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2023-05-22 13:00:00,8.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
2023-05-22 14:00:00,8.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2023-05-22 15:00:00,8.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
2023-05-22 16:00:00,8.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
2023-05-22 17:00:00,8.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
2023-05-22 18:00:00,8.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41
2023-05-22 19:00:00,8.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2023-05-22 20:00:00,8.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2023-05-22 21:00:00,8.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39
2023-05-22 22:00:00,8.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41
2023-05-22 23:00:00,8.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
2023-05-23 00:00:00,8.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2023-05-23 01:00:00,8.666,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.51
2023-05-23 02:00:00,8.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2023-05-23 03:00:00,8.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
2023-05-23 04:00:00,8.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
