date,ydd_hrel,3003430_hrf,3004630_hwl,3002655_hwl_AR
2024-06-16 22:00:00,11.158,0.0,1.01,0.73
2024-06-16 23:00:00,11.148,0.0,1.01,0.72
2024-06-17 00:00:00,11.149,0.0,1.01,0.73
2024-06-17 01:00:00,11.165,0.0,1.01,0.73
2024-06-17 02:00:00,11.155,0.0,1.01,0.73
2024-06-17 03:00:00,11.154,0.0,1.01,0.73
2024-06-17 04:00:00,11.158,0.0,1.01,0.73
2024-06-17 05:00:00,11.163,0.0,1.01,0.73
2024-06-17 06:00:00,11.164,0.0,1.01,0.73
2024-06-17 07:00:00,11.157,0.0,1.01,0.73
2024-06-17 08:00:00,11.165,0.0,1.01,0.73
2024-06-17 09:00:00,11.17,0.0,1.01,0.73
2024-06-17 10:00:00,11.168,0.0,1.01,0.73
2024-06-17 11:00:00,11.166,0.0,1.02,0.73
2024-06-17 12:00:00,11.17,0.0,1.01,0.73
2024-06-17 13:00:00,11.177,0.0,1.01,0.73
2024-06-17 14:00:00,11.17,0.0,1.01,0.73
2024-06-17 15:00:00,11.17,0.0,1.01,0.73
2024-06-17 16:00:00,11.179,0.0,1.01,0.73
2024-06-17 17:00:00,11.173,0.0,1.01,0.73
2024-06-17 18:00:00,11.177,0.0,1.02,0.73
2024-06-17 19:00:00,11.175,0.0,1.02,0.73
2024-06-17 20:00:00,11.173,0.0,1.01,0.73
2024-06-17 21:00:00,11.184,0.0,1.01,0.73
2024-06-17 22:00:00,11.187,0.0,1.01,0.73
2024-06-17 23:00:00,11.184,0.0,1.02,0.73
2024-06-18 00:00:00,11.185,0.0,1.01,0.73
2024-06-18 01:00:00,11.187,0.0,1.01,0.73
2024-06-18 02:00:00,11.191,0.0,1.01,0.73
2024-06-18 03:00:00,11.188,0.0,1.01,0.73
2024-06-18 04:00:00,11.198,0.0,1.01,0.73
2024-06-18 05:00:00,11.203,0.0,1.01,0.73
2024-06-18 06:00:00,11.208,0.0,1.02,0.73
2024-06-18 07:00:00,11.208,0.0,1.02,0.73
2024-06-18 08:00:00,11.205,0.0,1.01,0.73
2024-06-18 09:00:00,11.206,0.0,1.02,0.73
2024-06-18 10:00:00,11.211,0.0,1.02,0.73
2024-06-18 11:00:00,11.203,0.0,1.02,0.73
2024-06-18 12:00:00,11.212,0.0,1.01,0.73
